# timestamp|durationMs|total|correct|percent
2026-02-20T20:28:11.674142|92442|3|3|100.00
2026-02-20T20:29:59.421345400|9569|2|2|100.00
2026-02-20T20:30:18.294065|13825|2|2|100.00
2026-02-20T20:30:53.550674600|5548|2|2|100.00
2026-02-20T20:44:21.920632500|11822|2|2|100.00
2026-02-20T20:55:03.388137|12681|4|4|100.00
2026-02-20T20:55:24.675750800|9778|3|3|100.00
2026-02-20T21:05:13.073476|89838|3|2|66.67
2026-02-20T21:06:54.351525600|12558|3|2|66.67
2026-02-20T21:07:39.388415300|9602|3|3|100.00
2026-02-20T21:07:56.988306400|11522|3|3|100.00
2026-02-20T21:08:56.245212500|12728|3|3|100.00
2026-02-20T21:20:20.973090400|41017|3|3|100.00
2026-02-20T21:41:14.403428900|25148|5|5|100.00
2026-04-19T18:28:20.603428300|59071|5|4|80.00
2026-04-19T18:48:09.943275|157807|5|4|80.00
2026-04-19T19:11:33.943085|74082|5|4|80.00
2026-04-19T19:15:31.942384600|9586|1|1|100.00
2026-04-19T19:15:51.060545400|21261|2|0|0.00
2026-04-20T22:35:43.349341800|329383|44|44|100.00
